클러스터별 평균 상관계수:
Cluster 2: 0.8686
Cluster 6: 0.8773
Cluster 0: 0.8784
Cluster 4: 0.8925
Cluster 3: 0.9012
Cluster 7: 0.9017

enbid_pci,cluster,accuracy,category
36472_287,2,0.9321832344664014,매우 좋음
37818_219,2,0.9326533558624707,매우 좋음
34790_434,2,0.9327680929506051,매우 좋음
37110_48,2,0.9327904518263266,매우 좋음
33433_23,2,0.9338222709696241,매우 좋음
34557_144,2,0.9353178176833744,매우 좋음
34775_264,2,0.9364169589957805,매우 좋음
37084_126,2,0.9365327944964252,매우 좋음
37818_199,2,0.9368747564234967,매우 좋음
37087_108,2,0.9372821002649467,매우 좋음
42228_38,2,0.938335817456135,매우 좋음
35607_341,2,0.9388884473257527,매우 좋음
33475_67,2,0.9403534833347549,매우 좋음
34713_441,2,0.9414771926994416,매우 좋음
34786_262,2,0.9423825660828351,매우 좋음
34333_165,2,0.9428770217958503,매우 좋음
37106_19,2,0.9432757278904678,매우 좋음
35577_413,2,0.9436984770701862,매우 좋음
37083_79,2,0.9449255949974867,매우 좋음
33907_253,2,0.9453686037374762,매우 좋음
34134_188,2,0.9460900446145271,매우 좋음
37052_265,2,0.9488272519041696,매우 좋음
34339_210,2,0.9510517181041449,매우 좋음
34336_109,2,0.9521011095448675,매우 좋음
35607_168,2,0.9529102208419722,매우 좋음
36127_213,2,0.9537030317068478,매우 좋음
34345_232,2,0.9550457520116332,매우 좋음
36206_183,2,0.9553214616744115,매우 좋음
37099_242,2,0.9564838105827944,매우 좋음
34336_295,2,0.9576206030480057,매우 좋음
34759_137,2,0.9596624240320378,매우 좋음
37106_283,2,0.9597070922910395,매우 좋음
35703_242,2,0.9599622702198691,매우 좋음
35726_245,2,0.9602092198114527,매우 좋음
40438_161,2,0.9607754556299026,매우 좋음
33475_8,2,0.9624984715977716,매우 좋음
34134_436,2,0.9628153453763945,매우 좋음
34759_94,2,0.963255870022862,매우 좋음
34792_327,2,0.9652578323191081,매우 좋음
34341_197,2,0.9665025304127173,매우 좋음
41937_185,2,0.967031074452343,매우 좋음
34559_286,2,0.969479229039647,매우 좋음
34335_318,2,0.9701751845583944,매우 좋음
34343_248,2,0.9706804204936845,매우 좋음
37085_282,2,0.9715240355217392,매우 좋음
33169_162,2,0.9722436191763978,매우 좋음
36054_102,2,0.9727649103478044,매우 좋음
34340_289,2,0.973380899501845,매우 좋음
34344_242,2,0.9758628787936381,매우 좋음
34133_101,2,0.9770111529685229,매우 좋음
35540_105,2,0.9797514290816303,매우 좋음
34805_317,3,0.4681453603152729,개선 필요
34804_219,3,0.4737790900110175,개선 필요
37099_299,3,0.6875932993533966,허용 가능
33011_304,3,0.7448868040855103,좋음
37097_195,3,0.7549765758390832,좋음
34804_234,3,0.7620554029814086,좋음
46384_173,3,0.8258512341065314,매우 좋음
36480_67,3,0.8573279331560658,매우 좋음
34134_467,3,0.8574505834265922,매우 좋음
46384_62,3,0.8605557814831319,매우 좋음
37115_407,3,0.867610139888723,매우 좋음
